Data,Novos,Descricao Alterada,Status Alterado,Inalterados
2025-05-07 18:48:34,2635,0,0,0
2025-05-07 18:59:36,0,1,0,2634
2025-05-07 20:30:11,1,1,0,2634
2025-05-08 18:53:41,6,2,3,2632
2025-05-12 16:32:14,9,1,8,2633
2025-05-14 18:12:14,16,3,9,2641
2025-05-14 18:23:09,1,1,1,2665
2025-05-14 18:23:30,0,1,0,2667
2025-05-15 16:38:18,5,2,6,2661
2025-05-15 20:53:56,1,1,1,2671
2025-05-15 21:17:59,0,1,0,2673
2025-05-15 21:22:45,0,1,0,2673
2025-05-15 21:29:13,0,1,0,2673
2025-05-15 21:35:24,0,1,0,2673
2025-05-15 21:37:38,0,1,0,2673
2025-05-15 21:45:44,0,1,0,51,2623
2025-05-16 10:59:57,0,1,0,51,2623
2025-05-19 18:12:16,12,3,7,50,2618
2025-05-19 18:34:04,0,1,0,53,2633
2025-05-19 18:45:31,0,1,0,50,2636
2025-05-19 18:49:59,0,1,0,50,2636
2025-05-21 10:29:47,6,1,8,50,2630
2025-05-22 21:07:51,13,1,13,52,2628
2025-05-23 15:39:35,3,1,0,48,2657
2025-05-23 17:56:16,1,1,0,49,2659
2025-05-27 11:44:46,2,2,12,50,2650
2025-05-29 18:38:10,17,1,3,48,2661
2025-05-30 18:04:52,6,1,7,51,2671
2025-06-05 14:51:22,19,6,16,52,2667
2025-06-09 10:27:54,11,2,6,53,2694
2025-06-11 10:33:34,5,2,3,56,2707
2025-06-11 14:46:51,0,2,3,57,2711
2025-06-12 18:33:28,9,2,1,55,2713
2025-06-16 15:07:00,5,2,3,56,2719
2025-06-18 11:39:38,12,2,0,58,2725
2025-06-23 10:46:05,1,2,1,74,2736
2025-06-23 15:23:19,0,2,0,2813,0
2025-06-23 15:26:53,0,2,0,76,2737
2025-06-23 15:41:57,0,2,0,0,2811
